5005488, -1.00, -128.28, -120.03
5012904, -1.00, -128.47, -120.24
5020276, -1.00, -128.65, -120.43
5027680, -1.00, -128.84, -120.64
5035120, -1.00, -129.03, -120.83
5042536, -1.00, -129.21, -121.02
5049988, -0.99, -129.40, -121.22
5057464, -0.99, -129.59, -121.37
5064844, -0.99, -129.78, -121.55
5072252, -0.99, -129.96, -121.72
5079664, -0.99, -130.15, -121.90
5087076, -0.99, -130.34, -122.09
5094452, -0.99, -130.52, -122.27
5101932, -0.99, -130.71, -122.43
5109344, -0.99, -130.90, -122.59
5116828, -0.99, -131.09, -122.77
5124300, -0.98, -131.28, -122.96
5131700, -0.98, -131.46, -123.14
5139168, -0.98, -131.65, -123.34
5146620, -0.98, -131.84, -123.54
5154088, -0.98, -132.03, -123.76
5161560, -0.98, -132.21, -123.98
5169032, -0.98, -132.40, -124.16
5176484, -0.98, -132.59, -124.35
5183928, -0.98, -132.77, -124.55
5191344, -0.98, -132.96, -124.75
5198848, -0.97, -133.15, -124.97
5206284, -0.97, -133.33, -125.18
5213704, -0.97, -133.52, -125.39
5221056, -0.97, -133.70, -125.58
5228504, -0.97, -133.89, -125.77
5235936, -0.97, -134.07, -125.97
5243408, -0.97, -134.26, -126.15
5250800, -0.97, -134.44, -126.36
5258224, -0.97, -134.63, -126.56
5265636, -0.97, -134.81, -126.76
5273040, -0.96, -135.00, -126.98
5280476, -0.96, -135.18, -127.18
5287904, -0.96, -135.36, -127.37
5295320, -0.96, -135.55, -127.56
5302728, -0.96, -135.74, -127.77
5310084, -0.96, -135.92, -127.96
5317508, -0.96, -136.11, -128.15
5324960, -0.96, -136.29, -128.36
5332404, -0.96, -136.48, -128.57
5339824, -0.96, -136.67, -128.77
5347252, -0.95, -136.85, -128.96
5354676, -0.95, -137.04, -129.15
5362060, -0.95, -137.23, -129.34
5369384, -0.95, -137.41, -129.52
5376776, -0.95, -137.59, -129.71
5384216, -0.95, -137.77, -129.89
5391588, -0.95, -137.95, -130.08
5398920, -0.95, -138.14, -130.25
5406320, -0.95, -138.33, -130.43
5413716, -0.95, -138.51, -130.62
5421088, -0.94, -138.69, -130.80
5428432, -0.94, -138.87, -130.96
5435816, -0.94, -139.05, -131.14
5443244, -0.94, -139.24, -131.30
5450672, -0.94, -139.42, -131.47
5458124, -0.94, -139.61, -131.66
5465448, -0.94, -139.79, -131.85
5472836, -0.94, -139.97, -132.03
5480204, -0.94, -140.15, -132.21
5487660, -0.94, -140.34, -132.38
5495044, -0.93, -140.52, -132.55
5502416, -0.93, -140.70, -132.73
5509700, -0.93, -140.89, -132.90
5517064, -0.93, -141.08, -133.08
5524472, -0.93, -141.27, -133.25
5531868, -0.93, -141.46, -133.43
5539228, -0.93, -141.64, -133.59
5546596, -0.93, -141.83, -133.76
5553988, -0.93, -142.01, -133.91
5561384, -0.93, -142.20, -134.08
5568736, -0.92, -142.38, -134.26
5576060, -0.92, -142.57, -134.43
5583424, -0.92, -142.75, -134.61
5590844, -0.92, -142.93, -134.77
5598224, -0.92, -143.11, -134.95
5605596, -0.92, -143.30, -135.13
5612988, -0.92, -143.47, -135.30
5620352, -0.92, -143.65, -135.48
5627740, -0.92, -143.83, -135.66
5635144, -0.92, -144.01, -135.83
5642520, -0.91, -144.19, -136.01
5649968, -0.91, -144.36, -136.17
5657328, -0.91, -144.54, -136.36
5664692, -0.91, -144.72, -136.54
5672092, -0.91, -144.89, -136.71
5679448, -0.91, -145.07, -136.88
5686816, -0.91, -145.25, -137.05
5694164, -0.91, -145.42, -137.23
5701504, -0.91, -145.59, -137.40
5708896, -0.91, -145.77, -137.55
5716212, -0.90, -145.95, -137.72
5723612, -0.90, -146.12, -137.90
5731008, -0.90, -146.30, -138.07
5738364, -0.90, -146.48, -138.25
5745720, -0.90, -146.65, -138.45
5753024, -0.90, -146.83, -138.64
5760344, -0.90, -147.00, -138.82
5767648, -0.90, -147.17, -138.99
5774964, -0.90, -147.35, -139.17
5782304, -0.90, -147.53, -139.34
5789636, -0.89, -147.70, -139.51
5796980, -0.89, -147.87, -139.67
5804272, -0.89, -148.05, -139.84
5811544, -0.89, -148.23, -140.02
5818844, -0.89, -148.40, -140.20
5826116, -0.89, -148.57, -140.37
5833436, -0.89, -148.74, -140.53
5840812, -0.89, -148.91, -140.69
5848140, -0.89, -149.09, -140.86
5855488, -0.89, -149.26, -141.04
5862812, -0.88, -149.43, -141.21
5870112, -0.88, -149.61, -141.40
5877500, -0.88, -149.78, -141.58
5884852, -0.88, -149.95, -141.74
5892180, -0.88, -150.12, -141.91
5899432, -0.88, -150.29, -142.09
5906748, -0.88, -150.45, -142.25
5914096, -0.88, -150.63, -142.42
5921512, -0.88, -150.80, -142.58
5928908, -0.88, -150.97, -142.75
5936320, -0.87, -151.14, -142.90
5943744, -0.87, -151.31, -143.09
5951096, -0.87, -151.48, -143.25
5958456, -0.87, -151.65, -143.43
5965836, -0.87, -151.82, -143.60
5973176, -0.87, -151.99, -143.79
5980496, -0.87, -152.16, -143.95
5987852, -0.87, -152.33, -144.14
5995244, -0.87, -152.50, -144.32
6002512, -0.87, -152.67, -144.49
6009868, -0.86, -152.83, -144.69
6017236, -0.86, -153.00, -144.86
6024540, -0.86, -153.17, -145.03
6031876, -0.86, -153.34, -145.23
6039272, -0.86, -153.51, -145.41
6046584, -0.86, -153.67, -145.60
6053928, -0.86, -153.84, -145.79
6061292, -0.86, -154.01, -145.98
6068692, -0.86, -154.17, -146.19
6076028, -0.86, -154.34, -146.37
6083368, -0.85, -154.51, -146.54
6090728, -0.85, -154.67, -146.71
6098084, -0.85, -154.84, -146.90
6105388, -0.85, -155.00, -147.08
6112668, -0.85, -155.17, -147.26
6119996, -0.85, -155.33, -147.43
6127320, -0.85, -155.50, -147.61
6134656, -0.85, -155.66, -147.78
6142008, -0.85, -155.83, -147.95
6149372, -0.85, -155.99, -148.12
6156780, -0.84, -156.16, -148.29
6164092, -0.84, -156.32, -148.46
6171376, -0.84, -156.48, -148.61
6178656, -0.84, -156.65, -148.78
6186020, -0.84, -156.81, -148.95
6193380, -0.84, -156.97, -149.11
6200684, -0.84, -157.13, -149.26
