-1.00, -6.35, -6.86
-0.99, -6.35, -6.46
-0.98, -6.28, -6.61
-0.97, -6.26, -6.93
-0.96, -6.22, -6.64
-0.95, -6.27, -5.87
-0.94, -6.28, -5.76
-0.93, -6.22, -6.05
-0.92, -6.19, -5.92
-0.91, -6.05, -5.22
-0.90, -5.96, -5.34
-0.89, -5.90, -6.04
-0.88, -5.81, -6.01
-0.87, -5.77, -5.56
-0.86, -5.70, -5.82
-0.85, -5.64, -5.86
-0.84, -5.56, -5.97
-0.83, -5.51, -5.88
-0.82, -5.46, -5.29
-0.81, -5.42, -5.21
-0.80, -5.36, -5.12
-0.79, -5.30, -4.88
-0.78, -5.24, -4.85
-0.77, -5.16, -4.68
-0.76, -5.12, -5.00
-0.75, -5.04, -5.08
-0.74, -4.98, -4.77
-0.73, -4.90, -4.53
-0.72, -4.86, -4.88
-0.71, -4.79, -4.75
-0.70, -4.73, -4.37
-0.69, -4.65, -4.45
-0.68, -4.58, -4.33
-0.67, -4.53, -4.33
-0.66, -4.44, -4.20
-0.65, -4.39, -4.34
-0.64, -4.31, -4.30
-0.63, -4.26, -4.28
-0.62, -4.18, -4.13
-0.61, -4.12, -4.16
-0.60, -4.05, -4.07
-0.59, -3.99, -4.13
-0.58, -3.92, -4.10
-0.57, -3.85, -3.98
-0.56, -3.85, -3.89
-0.55, -3.73, -3.87
-0.54, -3.66, -3.79
-0.53, -3.58, -3.81
-0.52, -3.52, -3.51
-0.51, -3.45, -3.40
-0.50, -3.39, -3.35
-0.49, -3.32, -3.28
-0.48, -3.24, -3.18
-0.47, -3.18, -3.13
-0.46, -3.11, -3.06
-0.45, -3.05, -2.98
-0.44, -2.97, -2.92
-0.43, -2.92, -2.87
-0.42, -2.84, -2.77
-0.41, -2.77, -2.71
-0.40, -2.70, -2.65
-0.39, -2.64, -2.57
-0.38, -2.57, -2.52
-0.37, -2.50, -2.42
-0.36, -2.43, -2.37
-0.35, -2.36, -2.29
-0.34, -2.29, -2.23
-0.33, -2.22, -2.15
-0.32, -2.16, -2.09
-0.31, -2.08, -2.02
-0.30, -2.03, -1.96
-0.29, -1.96, -1.88
-0.28, -1.89, -1.80
-0.27, -1.83, -1.75
-0.26, -1.75, -1.67
-0.25, -1.70, -1.61
-0.24, -1.62, -1.53
-0.23, -1.57, -1.48
-0.22, -1.49, -1.40
-0.21, -1.43, -1.33
-0.20, -1.32, -1.28
-0.19, -1.28, -1.28
-0.18, -1.28, -1.15
-0.17, -1.17, -1.05
-0.16, -1.09, -0.99
-0.15, -1.01, -0.92
-0.14, -0.96, -0.85
-0.13, -0.87, -0.78
-0.12, -0.82, -0.73
-0.11, -0.74, -0.65
-0.10, -0.69, -0.59
-0.09, -0.61, -0.51
-0.08, -0.53, -0.44
-0.07, -0.47, -0.38
-0.06, -0.39, -0.31
-0.05, -0.34, -0.25
